Zona;Provincia;Canton;Distrito;Circuito;Fecha Infraccion;Hora_Infraccion;tipo_muert_matriz;Edad;Sexo;Estado Civil;Nacionalidad;Numero_asesinatos;Tipo_Arma;Presunta_Motivacion
ZONA 8;GUAYAS;GUAYAQUIL;MODELO;ALBORADA;10/6/2014;23:00;Asesinatos;19;MASCULINO;SOLTERO;ECUADOR;19;PISTOLA             ;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO)
ZONA 9;PICHINCHA;QUITO;QUITUMBE;CHILLOGALLO;10/6/2014;22:10;Homicidios;26;FEMENINO;SOLTERO;ECUADOR;13;PISTOLA             ;ROBO A PERSONAS
ZONA 9;PICHINCHA;QUITO;NANEGAL;PACTO;10/6/2014;19:10;Homicidios;23;FEMENINO;UNION LIBRE;COLOMBIA;6;NATURAL TÓXICA;SENTIMENTAL
ZONA 9;PICHINCHA;QUITO;LA DELICIA;EL MIRADOR;12/6/2014;3:40;Homicidios;42;MASCULINO;SOLTERO;ECUADOR;5;CARTUCHERA          ;RIÑAS
ZONA 8;GUAYAS;GUAYAQUIL;FLORIDA;JUAN MONTALVO;11/6/2014;14:40;Asesinatos;35;FEMENINO;CASADO;ECUADOR;1;SOGA;ROBO DE CARROS
ZONA 8;GUAYAS;GUAYAQUIL;NUEVA PROSPERINA;PARAISO LA FLOR;12/6/2014;18:30;Asesinatos;23;MASCULINO;SOLTERO;ECUADOR;0;NINGUNA;VIOLACION SEXUAL (DESCONOCIDO)
ZONA 5;SANTA_ELENA;SANTA_ELENA;SANTA ELENA;MONTANITA;12/6/2014;12:30;Homicidios;26;MASCULINO;SOLTERO;ECUADOR;17;PISTOLA             ;AMENAZA
ZONA 8;GUAYAS;GUAYAQUIL;SUR;FLORESTA;12/6/2014;19:00;Asesinatos;37;MASCULINO;CASADO;ECUADOR;10;CUCHILLO            ;SENTIMENTAL
ZONA 8;GUAYAS;GUAYAQUIL;ESTEROS;ESTEROS;12/6/2014;22:30;Asesinatos;28;MASCULINO;SOLTERO;ECUADOR;2;PISTOLA             ;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO)
ZONA 8;GUAYAS;DURAN;DURAN;RECREO;13/6/2014;17:36;Asesinatos;22;MASCULINO;SOLTERO;ECUADOR;1;PISTOLA             ;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO)
ZONA 3;CHIMBORAZO;GUANO;GUANO;GUANO;14/6/2014;8:00;Asesinatos;24;FEMENINO;CASADO;ECUADOR;6;PISTOLA             ;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO)
ZONA 1;ESMERALDAS;QUININDE;QUININDE;CUBE;13/6/2014;23:30;Asesinatos;31;MASCULINO;SOLTERO;ECUADOR;5;;AMENAZA
ZONA 4;MANABI;SANTA_ANA;24 DE MAYO;SAN PABLO DE PUEBLO NUEVO;14/6/2014;20:30;Homicidios;34;MASCULINO;SOLTERO;ECUADOR;5;CUCHILLO            ;SENTIMENTAL
ZONA 9;PICHINCHA;QUITO;QUITUMBE;CHILLOGALLO;14/6/2014;11:40;Homicidios;22;MASCULINO;SOLTERO;ECUADOR;3;CUCHILLO            ;RIÑAS
ZONA 6;AZUAY;CUENCA;CUENCA NORTE;BELLAVISTA;14/6/2014;17:30;Asesinatos;29;MASCULINO;SOLTERO;ECUADOR;4;REVOLVER            ;AMENAZA
ZONA 1;ESMERALDAS;ESMERALDAS;ESMERALDAS;GUACHARACA;14/6/2014;23:45;Asesinatos;32;MASCULINO;CASADO;ECUADOR;1;REPETIDORA          ;AMENAZA
ZONA 9;PICHINCHA;QUITO;QUITUMBE;LAS CUADRAS;15/6/2014;5:00;Homicidios;29;MASCULINO;CASADO;ECUADOR;0;CARTUCHERA          ;RIÑAS
ZONA 8;GUAYAS;GUAYAQUIL;ESTEROS;ESTEROS;14/6/2014;23:00;Asesinatos;18;MASCULINO;UNION LIBRE;ECUADOR;0;OBJETO CONTUSO;ROBO A PERSONAS
ZONA 1;ESMERALDAS;QUININDE;QUININDE;CUBE;15/6/2014;11:40;Asesinatos;49;MASCULINO;SOLTERO;ECUADOR;22;REVOLVER            ;ROBO A PERSONAS
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;7 DE OCTUBRE;15/6/2014;19:40;Asesinatos;44;MASCULINO;DIVORCIADO;ECUADOR;34;REVOLVER            ;RIÑAS
ZONA 1;ESMERALDAS;SAN_LORENZO;SAN LORENZO;FRONTERA;15/6/2014;15:00;Homicidios;55;MASCULINO;SOLTERO;ECUADOR;11;CUCHILLO            ;SENTIMENTAL
ZONA 1;ESMERALDAS;ESMERALDAS;ESMERALDAS;CORDERO CRESPO;15/6/2014;22:30;Asesinatos;24;MASCULINO;SOLTERO;ECUADOR;2;NINGUNA;ACTOS DE ODIO
ZONA 5;LOS_RIOS;VINCES;VINCES;VINCES SUR;16/6/2014;3:40;Asesinatos;20;MASCULINO;SOLTERO;ECUADOR;10;CORTO PUNZANTE;ROBO A PERSONAS
ZONA 8;GUAYAS;GUAYAQUIL;ESTEROS;MALVINAS NORTE;16/6/2014;1:00;Asesinatos;37;MASCULINO;SOLTERO;ECUADOR;9;HIDROCARBUROS;RIÑAS
ZONA 2;ORELLANA;LA_JOYA_DE_LOS_SACHAS;LA JOYA DE LOS SACHAS;SAN PEDRO;4/5/2014;20:00;Asesinatos;28;MASCULINO;SOLTERO;ECUADOR;12;PISTOLA             ;ROBO A PERSONAS
ZONA 5;LOS_RIOS;VINCES;VINCES;ANTONIO SOTOMAYOR;16/6/2014;14:00;Asesinatos;41;MASCULINO;CASADO;ECUADOR;1;MACHETE             ;AMENAZA
ZONA 5;LOS_RIOS;BABAHOYO;BABAHOYO;UNIVERSIDAD;26/5/2014;12:15;Homicidios;45;MASCULINO;CASADO;ECUADOR;6;OBJETO CONTUSO;ROBO A PERSONAS
ZONA 5;GUAYAS;EL_EMPALME;EL EMPALME;PUERTO DEL MONO;15/6/2014;3:00;Homicidios;33;FEMENINO;SOLTERO;ECUADOR;6;PALO;EMOCIONAL
ZONA 4;SANTO_DOMINGO_DE_LOS_TSACHILAS;SANTO_DOMINGO;SANTO DOMINGO OESTE;BOMBOLI;3/6/2014;20:30;Asesinatos;25;MASCULINO;SOLTERO;ECUADOR;4;PALO;EMOCIONAL
ZONA 8;GUAYAS;GUAYAQUIL;PORTETE;PORTETE;11/4/2014;11:00;Asesinatos;59;MASCULINO;CASADO;ECUADOR;2;CORTO PUNZANTE;RIÑAS
ZONA 9;PICHINCHA;QUITO;LA DELICIA;EL CONDADO;16/6/2014;20:00;Homicidios;27;MASCULINO;SOLTERO;ECUADOR;4;CORTO PUNZANTE;RIÑAS
ZONA 1;ESMERALDAS;ELOY_ALFARO;ELOY ALFARO;BORBON;18/6/2014;23:00;Asesinatos;50;MASCULINO;CASADO;ECUADOR;23;REVOLVER            ;ROBO A PERSONAS
ZONA 9;PICHINCHA;QUITO;LA DELICIA;COTOCOLLAO;19/6/2014;13:00;Homicidios;43;MASCULINO;CASADO;ECUADOR;35;PISTOLA             ;ACTOS DE ODIO
ZONA 5;GUAYAS;SAN_JACINTO_DE_YAGUACHI;YAGUACHI;YAGUACHI SUR;20/6/2014;4:00;Asesinatos;46;FEMENINO;SOLTERO;ECUADOR;13;REVOLVER            ;DEUDAS
ZONA 1;ESMERALDAS;QUININDE;QUININDE;LA SEXTA;20/6/2014;21:00;Asesinatos;40;MASCULINO;SOLTERO;ECUADOR;15;CARTUCHERA          ;AMENAZA
ZONA 8;GUAYAS;GUAYAQUIL;PASCUALES;ORQUIDEAS;21/6/2014;2:00;Asesinatos;19;MASCULINO;CASADO;ECUADOR;14;CINTA DE EMBALAJE;ROBO DE CARROS
ZONA 5;LOS_RIOS;SAN_JACINTO_DE_BUENA_FE;BUENA FE;BUENA FE OESTE;21/6/2014;9:40;Homicidios;33;MASCULINO;SOLTERO;ECUADOR;15;CUCHILLO            ;RIÑAS
ZONA 7;LOJA;CATAMAYO;CATAMAYO;CATAMAYO NORTE;21/6/2014;12:30;Homicidios;34;MASCULINO;SOLTERO;ECUADOR;7;NINGUNA;RIÑAS
ZONA 8;GUAYAS;GUAYAQUIL;MODELO;ALBORADA;21/6/2014;20:00;Asesinatos;21;MASCULINO;SOLTERO;ECUADOR;1;PISTOLA             ;RIÑAS
ZONA 9;PICHINCHA;QUITO;ELOY ALFARO;BARRIO NUEVO;22/6/2014;1:45;Homicidios;31;MASCULINO;SOLTERO;ECUADOR;4;OBJETO CONTUSO;RIÑAS
ZONA 5;GUAYAS;ALFREDO_BAQUERIZO_MORENO_(_JUJAN_);JUJAN SIMON BOLIVAR;JUJAN OESTE;20/6/2014;20:00;Asesinatos;49;MASCULINO;SOLTERO;ECUADOR;1;PISTOLA             ;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO)
ZONA 8;GUAYAS;GUAYAQUIL;NUEVA PROSPERINA;NUEVA PROSPERINA;22/6/2014;21:00;Homicidios;26;MASCULINO;SOLTERO;ECUADOR;1;PISTOLA             ;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO)
ZONA 7;EL_ORO;PASAJE;PASAJE;VELASCO IBARRA;22/6/2014;22:00;Homicidios;26;MASCULINO;SOLTERO;ECUADOR;6;CUCHILLO            ;LITIGIO DE BIENES
ZONA 5;LOS_RIOS;MONTALVO;BABAHOYO;MONTALVO;22/6/2014;17:30;Asesinatos;67;MASCULINO;CASADO;ECUADOR;16;REVOLVER            ;ROBO A DOMICILIOS
ZONA 9;PICHINCHA;QUITO;LOS CHILLOS;CONOCOTO NORTE;22/6/2014;11:05;Homicidios;54;MASCULINO;CASADO;ECUADOR;28;CUCHILLO            ;AMENAZA
ZONA 1;SUCUMBIOS;LAGO_AGRIO;LAGO AGRIO;NUEVO SUCUMBIOS;23/6/2014;5:00;Asesinatos;37;MASCULINO;NO DETERMINADO;COLOMBIA;15;CUCHILLO            ;RIÑAS
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;7 DE OCTUBRE;23/6/2014;10:50;Asesinatos;43;MASCULINO;SOLTERO;ECUADOR;14;PISTOLA             ;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO)
ZONA 4;MANABI;PORTOVIEJO;PORTOVIEJO;ABDON CALDERON;24/6/2014;15:00;Homicidios;13;MASCULINO;SOLTERO;ECUADOR;9;MARTILLO;AMENAZA
ZONA 6;AZUAY;CUENCA;CUENCA SUR;YANUNCAY;24/6/2014;23:00;Asesinatos;36;MASCULINO;SOLTERO;ECUADOR;9;;AMENAZA
ZONA 5;GUAYAS;GENERAL_ANTONIO_ELIZALDE;EL TRIUNFO BUCAY;BUCAY;24/6/2014;7:00;Asesinatos;28;MASCULINO;SOLTERO;ECUADOR;9;REVOLVER            ;RIÑAS
ZONA 8;GUAYAS;GUAYAQUIL;ESTEROS;ESTEROS;24/6/2014;20:30;Asesinatos;24;MASCULINO;SOLTERO;ECUADOR;13;PISTOLA             ;RIÑAS
ZONA 5;GUAYAS;NARANJITO;NARANJITO MARCELINO MARIDUENA;NARANJITO SUR;24/6/2014;19:00;Asesinatos;45;MASCULINO;SOLTERO;ECUADOR;1;CUCHILLO            ;RIÑAS
ZONA 9;PICHINCHA;QUITO;QUITUMBE;LAS CUADRAS;26/6/2014;2:39;Homicidios;25;MASCULINO;SOLTERO;ECUADOR;4;REVOLVER            ;ROBO A PERSONAS
ZONA 4;SANTO_DOMINGO_DE_LOS_TSACHILAS;SANTO_DOMINGO;SANTO DOMINGO ESTE;CENTRO;16/6/2014;18:00;Asesinatos;26;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;RIÑAS
ZONA 8;GUAYAS;GUAYAQUIL;SUR;PUNA;23/6/2014;17:30;Asesinatos;17;MASCULINO;SOLTERO;ECUADOR;4;REVOLVER            ;RIÑAS
ZONA 9;PICHINCHA;QUITO;TUMBACO;CUMBAYA SUR;27/6/2014;2:39;Homicidios;35;MASCULINO;CASADO;ECUADOR;39;PISTOLA             ;ROBO A PERSONAS
ZONA 6;AZUAY;CUENCA;CUENCA SUR;MOLLETURO;26/6/2014;16:00;Asesinatos;7;FEMENINO;SOLTERO;ECUADOR;16;MACHETE             ;LITIGIO DE TIERRAS
ZONA 8;GUAYAS;GUAYAQUIL;MODELO;TENGUEL;20/6/2014;19:30;Asesinatos;30;MASCULINO;SOLTERO;ECUADOR;20;PISTOLA             ;AMENAZA
ZONA 9;PICHINCHA;QUITO;ELOY ALFARO;FERROVIARIA;28/6/2014;21:00;Homicidios;38;MASCULINO;CASADO;COLOMBIA;19;PISTOLA             ;AMENAZA
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;LA ESPERANZA;29/6/2014;0:00;Asesinatos;35;MASCULINO;SOLTERO;ECUADOR;3;VENENO;SENTIMENTAL
ZONA 5;BOLIVAR;GUARANDA;GUARANDA;SAN LORENZO;28/6/2014;23:00;Homicidios;71;FEMENINO;SOLTERO;ECUADOR;11;CORTO PUNZANTE;RIÑAS
ZONA 8;GUAYAS;DURAN;DURAN;LIGA CANTONAL;29/6/2014;12:15;Homicidios;39;MASCULINO;SOLTERO;ECUADOR;10;PISTOLA             ;RIÑAS
ZONA 8;GUAYAS;SAMBORONDON;SAMBORONDON;SAMBORONDON;29/6/2014;19:15;Asesinatos;20;MASCULINO;SOLTERO;ECUADOR;17;PRENDA TEXTIL;ROBO A DOMICILIOS
ZONA 5;BOLIVAR;CALUMA;SUBTROPICO;CALUMA;29/6/2014;0:30;Homicidios;27;MASCULINO;SOLTERO;ECUADOR;3;CARTUCHERA          ;ROBO A PERSONAS
ZONA 1;IMBABURA;COTACACHI;TIERRA DEL SOL;IMANTAG;30/6/2014;8:30;Asesinatos;26;MASCULINO;SOLTERO;ECUADOR;3;OBJETO CONTUSO;RIÑAS
ZONA 5;GUAYAS;NARANJAL;NARANJAL BALAO;TAURA;30/6/2014;9:00;Asesinatos;63;MASCULINO;CASADO;ECUADOR;1;PISTOLA             ;AMENAZA
ZONA 1;ESMERALDAS;ESMERALDAS;ESMERALDAS;BELLAVISTA NORTE;1/7/2014;3:30;Asesinatos;35;FEMENINO;SOLTERO;COLOMBIA;0;CORTO PUNZANTE;SENTIMENTAL
ZONA 8;GUAYAS;GUAYAQUIL;SUR;UNION DE BANANEROS;28/6/2014;7:50;Asesinatos;23;MASCULINO;SOLTERO;ECUADOR;0;CORTO PUNZANTE;RIÑAS
ZONA 9;PICHINCHA;QUITO;ELOY ALFARO;ARGELIA;2/7/2014;4:30;Homicidios;18;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;ROBO A PERSONAS
ZONA 8;GUAYAS;GUAYAQUIL;SUR;FLORESTA;28/6/2014;10:30;Asesinatos;20;MASCULINO;SOLTERO;ECUADOR;0;;SENTIMENTAL
ZONA 8;GUAYAS;GUAYAQUIL;PASCUALES;MUCHO LOTE;28/6/2014;23:00;Asesinatos;23;MASCULINO;SOLTERO;ECUADOR;0;NINGUNA;VIOLACION FAMILIAR DIRECTO (PERSONA CONOCIDA)
ZONA 1;ESMERALDAS;ESMERALDAS;ESMERALDAS;BELLAVISTA NORTE;2/7/2014;12:00;Asesinatos;31;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;AMENAZA
ZONA 7;EL_ORO;EL_GUABO;PASAJE;BARBONES;2/7/2014;6:10;Asesinatos;32;MASCULINO;SOLTERO;ECUADOR;0;PISTOLA             ;AMENAZA
ZONA 2;NAPO;ARCHIDONA;TENA;ARCHIDONA;22/6/2014;0:00;Asesinatos;5;FEMENINO;SOLTERO;ECUADOR;0;PISTOLA             ;AMENAZA
